iter	Passed	Remaining
0	202	202058
1	206	103217
2	211	70163
3	215	53664
4	221	44083
5	227	37702
6	232	32951
7	237	29404
8	241	26610
9	246	24381
10	252	22744
11	257	21189
12	261	19876
13	267	18831
14	272	17897
15	277	17053
16	282	16324
17	295	16108
18	301	15559
19	306	15022
20	311	14521
21	316	14052
22	320	13614
23	324	13208
24	329	12846
25	333	12505
26	337	12176
27	342	11873
28	346	11613
29	351	11364
30	356	11136
31	361	10928
32	365	10724
33	370	10516
34	374	10316
35	378	10148
36	383	9980
37	387	9816
38	392	9671
39	397	9541
40	402	9409
41	406	9281
42	410	9137
43	414	9009
44	418	8888
45	424	8793
46	427	8663
47	431	8557
48	435	8452
49	440	8371
50	445	8283
51	449	8189
52	453	8101
53	458	8025
54	462	7950
55	467	7878
56	472	7823
57	477	7748
58	481	7672
59	485	7602
60	489	7535
61	492	7452
62	496	7385
63	501	7331
64	505	7271
65	509	7210
66	513	7152
67	517	7098
68	522	7050
69	526	7000
70	531	6953
71	536	6910
72	540	6868
73	545	6824
74	549	6781
75	554	6738
76	558	6694
77	562	6651
78	567	6613
79	571	6575
80	576	6536
81	580	6500
82	585	6465
83	589	6431
84	594	6401
85	600	6378
86	604	6346
87	608	6309
88	613	6276
89	617	6247
90	622	6215
91	626	6183
92	632	6163
93	637	6141
94	641	6112
95	646	6087
96	651	6062
97	655	6032
98	659	6001
99	663	5974
100	667	5944
101	671	5914
102	675	5886
103	680	5861
104	684	5833
105	688	5805
106	692	5779
107	696	5753
108	700	5729
109	705	5706
110	709	5684
111	714	5664
112	718	5641
113	722	5616
114	726	5592
115	731	5572
116	735	5549
117	739	5525
118	743	5504
119	747	5484
120	751	5462
121	755	5440
122	760	5422
123	765	5405
124	769	5387
125	774	5370
126	779	5356
127	783	5335
128	787	5315
129	791	5297
130	796	5281
131	800	5262
132	804	5242
133	808	5225
134	813	5210
135	817	5193
136	821	5176
137	826	5162
138	830	5146
139	835	5133
140	840	5120
141	844	5105
142	849	5089
143	853	5072
144	857	5056
145	861	5040
146	865	5024
147	869	5008
148	874	4992
149	878	4979
150	883	4968
151	888	4958
152	893	4945
153	897	4930
154	901	4914
155	905	4901
156	910	4886
157	914	4872
158	918	4857
159	923	4846
160	927	4831
161	931	4818
162	936	4807
163	940	4796
164	946	4787
165	950	4776
166	955	4765
167	959	4753
168	964	4740
169	968	4728
170	972	4716
171	977	4703
172	981	4691
173	985	4680
174	989	4667
175	994	4654
176	998	4641
177	1003	4633
178	1008	4624
179	1013	4615
180	1017	4604
181	1022	4595
182	1027	4585
183	1031	4573
184	1035	4563
185	1040	4552
186	1044	4540
187	1048	4528
188	1053	4520
189	1058	4513
190	1063	4503
191	1067	4493
192	1072	4484
193	1076	4473
194	1080	4461
195	1085	4451
196	1089	4440
197	1093	4428
198	1097	4417
199	1100	4402
200	1104	4391
201	1108	4380
202	1112	4369
203	1117	4360
204	1122	4351
205	1126	4342
206	1131	4333
207	1136	4326
208	1140	4316
209	1144	4305
210	1149	4296
211	1153	4288
212	1157	4278
213	1161	4267
214	1167	4261
215	1171	4251
216	1175	4240
217	1178	4229
218	1183	4220
219	1187	4211
220	1192	4203
221	1197	4196
222	1201	4185
223	1205	4175
224	1209	4165
225	1214	4160
226	1218	4150
227	1223	4141
228	1227	4131
229	1231	4124
230	1235	4114
231	1238	4101
232	1243	4093
233	1249	4089
234	1254	4084
235	1259	4078
236	1265	4073
237	1268	4061
238	1272	4053
239	1278	4049
240	1283	4041
241	1287	4034
242	1293	4029
243	1298	4023
244	1303	4017
245	1308	4010
246	1312	4002
247	1317	3993
248	1321	3985
249	1326	3980
250	1330	3971
251	1335	3963
252	1339	3955
253	1344	3948
254	1348	3940
255	1352	3931
256	1357	3925
257	1362	3919
258	1367	3912
259	1372	3905
260	1374	3892
261	1379	3885
262	1383	3877
263	1387	3869
264	1392	3862
265	1396	3854
266	1401	3846
267	1405	3839
268	1410	3831
269	1414	3823
270	1418	3815
271	1423	3810
272	1428	3803
273	1433	3796
274	1439	3795
275	1444	3789
276	1449	3782
277	1453	3775
278	1458	3769
279	1463	3762
280	1468	3756
281	1473	3752
282	1478	3746
283	1483	3740
284	1490	3739
285	1495	3734
286	1501	3730
287	1507	3726
288	1512	3720
289	1517	3714
290	1522	3708
291	1526	3701
292	1531	3694
293	1536	3690
294	1541	3684
295	1546	3677
296	1551	3671
297	1556	3665
298	1560	3659
299	1565	3653
300	1571	3648
301	1575	3641
302	1580	3634
303	1584	3628
304	1589	3622
305	1594	3616
306	1598	3608
307	1603	3602
308	1607	3595
