iter	Passed	Remaining
0	12	12239
1	24	12203
2	36	12090
3	49	12363
4	62	12464
5	76	12704
6	90	12792
7	103	12782
8	115	12730
9	128	12727
10	142	12812
11	155	12838
12	169	12899
13	184	13000
14	197	12970
15	211	12982
16	224	13002
17	238	13027
18	251	12996
19	264	12967
20	277	12921
21	290	12922
22	302	12862
23	315	12842
24	329	12838
25	343	12865
26	355	12824
27	369	12828
28	382	12814
29	395	12778
30	408	12755
31	420	12721
32	432	12680
33	445	12662
34	458	12634
35	470	12604
36	483	12572
37	495	12541
38	507	12512
39	520	12484
40	533	12484
41	547	12486
42	559	12452
43	572	12446
44	587	12464
45	600	12447
46	610	12373
47	623	12368
48	635	12343
49	649	12331
50	660	12297
51	673	12279
52	686	12272
53	699	12255
54	711	12232
55	724	12206
56	736	12186
57	749	12173
58	762	12168
59	775	12150
60	787	12128
61	801	12120
62	814	12111
63	826	12094
64	839	12082
65	852	12057
66	865	12053
67	878	12041
68	890	12014
69	903	12003
70	916	11989
71	928	11969
72	941	11960
73	954	11944
74	967	11933
75	980	11921
76	993	11903
77	1006	11899
78	1019	11886
79	1032	11877
80	1045	11866
81	1058	11847
82	1070	11828
83	1082	11807
84	1095	11788
85	1108	11778
86	1121	11767
87	1133	11749
88	1145	11729
89	1158	11715
90	1170	11693
91	1182	11673
92	1195	11660
93	1207	11640
94	1220	11624
95	1233	11619
96	1246	11605
97	1259	11591
98	1272	11585
99	1285	11568
100	1299	11562
101	1312	11556
102	1326	11547
103	1338	11533
104	1351	11521
105	1365	11520
106	1378	11505
107	1390	11487
108	1403	11471
109	1415	11455
110	1428	11443
111	1441	11430
112	1454	11420
113	1467	11403
114	1481	11399
115	1495	11395
116	1508	11386
117	1522	11376
118	1535	11370
119	1549	11359
120	1563	11357
121	1575	11341
122	1589	11333
123	1603	11331
124	1616	11318
125	1630	11311
126	1644	11303
127	1657	11289
128	1672	11290
129	1686	11283
130	1700	11278
131	1713	11266
132	1727	11260
133	1740	11248
134	1754	11244
135	1767	11230
136	1780	11218
137	1794	11207
138	1807	11195
139	1820	11184
140	1834	11173
141	1846	11155
142	1859	11143
143	1872	11132
144	1886	11124
145	1899	11112
146	1913	11101
147	1926	11090
148	1939	11076
149	1952	11064
150	1965	11050
151	1978	11037
152	1991	11025
153	2003	11008
154	2017	10997
155	2031	10991
156	2043	10975
157	2057	10962
158	2069	10947
159	2081	10929
160	2094	10913
161	2106	10897
162	2118	10879
163	2131	10864
164	2144	10852
165	2157	10838
166	2170	10826
167	2183	10815
168	2196	10801
169	2209	10786
170	2221	10768
171	2234	10758
172	2247	10746
173	2261	10737
174	2275	10726
175	2289	10719
176	2302	10705
177	2315	10693
178	2327	10676
179	2340	10664
180	2354	10652
181	2366	10636
182	2379	10621
183	2394	10617
184	2407	10604
185	2420	10593
186	2434	10584
187	2446	10568
188	2460	10556
189	2472	10541
190	2485	10528
191	2498	10512
192	2510	10498
193	2523	10484
194	2536	10472
195	2549	10457
196	2562	10444
197	2575	10430
198	2587	10415
199	2599	10399
200	2612	10386
201	2624	10369
202	2637	10353
203	2650	10341
204	2662	10326
205	2676	10314
206	2688	10298
207	2700	10284
208	2714	10272
209	2727	10260
210	2741	10249
211	2754	10238
212	2767	10225
213	2779	10210
214	2792	10196
215	2805	10183
216	2818	10169
217	2831	10158
218	2845	10148
219	2858	10134
220	2872	10123
221	2885	10112
