iter	Passed	Remaining
0	48	48204
1	50	25265
2	52	17379
3	53	13369
4	55	10973
5	56	9382
6	57	8216
7	59	7371
8	60	6700
9	62	6161
10	63	5732
11	65	5371
12	66	5062
13	68	4800
14	69	4572
15	71	4382
16	73	4226
17	74	4068
18	76	3926
19	77	3799
20	79	3687
21	80	3581
22	81	3482
23	83	3395
24	84	3314
25	86	3239
26	87	3168
27	89	3101
28	90	3044
29	92	2988
30	93	2933
31	95	2883
32	96	2837
33	98	2795
34	99	2752
35	101	2713
36	102	2676
37	104	2642
38	105	2608
39	107	2576
40	108	2544
41	110	2524
42	112	2496
43	113	2469
44	115	2443
45	116	2420
46	118	2396
47	119	2374
48	121	2354
49	122	2335
50	124	2316
51	126	2299
52	127	2280
53	129	2264
54	130	2245
55	132	2228
56	133	2213
57	135	2197
58	136	2183
59	138	2169
60	140	2156
61	141	2143
62	143	2130
63	144	2116
64	146	2104
65	147	2085
66	148	2072
67	150	2060
68	151	2047
69	153	2035
70	154	2023
71	156	2012
72	157	2002
73	159	1991
74	161	1987
75	162	1978
76	164	1970
77	165	1960
78	167	1951
79	168	1942
80	170	1933
81	172	1925
82	173	1917
83	175	1909
84	176	1902
85	178	1893
86	179	1886
87	181	1879
88	182	1870
89	184	1863
90	185	1856
91	187	1849
92	189	1845
93	190	1838
94	192	1831
95	194	1827
96	196	1829
97	198	1822
98	199	1815
99	201	1810
100	202	1804
101	204	1798
102	205	1793
103	207	1788
104	209	1782
105	210	1775
106	211	1765
107	213	1760
108	214	1755
109	216	1749
110	217	1743
111	219	1737
112	220	1732
113	222	1727
114	223	1721
115	226	1724
116	227	1719
117	228	1710
118	230	1704
119	232	1704
120	233	1699
121	235	1694
122	237	1690
123	238	1685
124	239	1679
125	241	1674
126	242	1670
127	244	1666
128	246	1661
129	247	1657
130	249	1652
131	250	1648
132	252	1646
133	254	1642
134	255	1638
135	257	1634
136	258	1630
137	260	1626
138	261	1622
139	263	1618
140	264	1614
141	266	1611
142	268	1607
143	269	1604
144	271	1599
145	272	1595
146	274	1592
147	276	1588
148	277	1585
149	279	1581
150	280	1578
151	282	1575
152	283	1571
153	285	1568
154	287	1564
155	288	1561
156	290	1557
157	291	1554
158	293	1550
159	294	1547
160	296	1544
161	298	1541
162	299	1538
163	301	1534
164	302	1531
165	304	1528
166	305	1525
167	306	1520
168	308	1516
169	309	1513
170	311	1510
171	313	1506
172	314	1503
173	316	1500
174	317	1497
175	319	1494
176	320	1491
177	322	1488
178	323	1485
179	326	1485
180	327	1482
181	329	1479
182	330	1476
183	332	1472
184	333	1469
185	335	1466
186	336	1463
187	338	1460
188	339	1457
189	341	1454
190	342	1451
191	344	1449
192	345	1446
193	347	1443
194	348	1438
195	350	1437
196	352	1434
197	353	1432
198	355	1429
199	356	1426
200	358	1426
201	360	1423
202	362	1421
203	363	1420
204	365	1417
205	367	1416
206	368	1412
207	370	1410
208	372	1408
209	373	1406
210	375	1403
211	377	1404
212	379	1402
213	381	1400
214	382	1398
215	384	1396
216	386	1394
217	387	1391
218	389	1388
219	391	1386
220	392	1383
221	394	1381
222	395	1379
223	397	1376
224	399	1374
225	400	1372
226	402	1369
227	403	1367
228	405	1364
229	406	1362
230	408	1360
231	410	1357
232	411	1356
233	413	1353
234	415	1351
235	416	1349
236	418	1347
237	420	1345
238	421	1342
239	423	1340
240	425	1338
241	426	1336
242	428	1334
243	430	1332
244	431	1329
245	432	1326
246	434	1324
247	436	1324
248	438	1321
249	440	1322
250	442	1320
251	444	1318
252	445	1316
253	447	1314
254	449	1312
255	450	1310
256	452	1308
257	454	1305
258	455	1301
259	456	1299
260	458	1297
261	459	1294
262	461	1292
263	462	1289
264	464	1287
265	465	1285
266	467	1282
267	468	1280
268	470	1278
269	471	1276
270	473	1273
271	475	1271
272	476	1269
273	477	1265
274	479	1263
275	481	1261
276	482	1259
277	484	1257
278	485	1255
279	487	1253
280	488	1250
281	490	1248
282	491	1246
283	493	1243
284	494	1241
285	496	1239
286	497	1236
287	499	1234
288	500	1232
289	502	1230
290	504	1227
291	505	1225
292	507	1223
293	508	1221
294	510	1219
295	511	1217
296	513	1214
297	514	1212
298	516	1210
299	517	1208
300	519	1206
301	520	1203
302	522	1202
303	524	1199
304	525	1197
305	527	1195
306	528	1193
307	530	1191
308	531	1189
309	533	1187
310	535	1187
311	537	1184
312	538	1182
313	540	1180
314	541	1178
315	543	1176
316	544	1173
317	546	1171
318	548	1169
319	550	1169
320	551	1167
321	553	1165
322	554	1163
323	556	1161
324	558	1159
325	559	1157
326	561	1155
327	562	1153
328	564	1151
329	565	1148
330	567	1146
331	568	1144
332	570	1142
333	572	1141
334	573	1139
335	575	1136
336	576	1134
337	578	1132
338	580	1131
339	581	1129
340	583	1127
341	584	1125
342	586	1123
343	588	1121
344	589	1119
345	591	1117
